名称	道具种类	具体类别	动画文件名	对应物件索引	宽度	高度	说明文字
Vo Lam Mat Tich	4	0	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Ky tai lieu vu lam trung dai da so vu cong dich bi tich, doi vu lam nhan si huu ngan dai bang tro. <enter> huu kien diem kich su dung"
Tay Tuy Kinh	4	1	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Phat gia kinh dien, dung pham van soan ta nhi thanh, nhu qua kha di doc dong, tuong tong trung hoach ich phi thien. <enter> huu kien diem kich su dung"
Ban Nhuoc Tam Kinh	4	2	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Phat gia bao dien, tung kinh sam hoi kha thanh tru phu kinh nghiem. <enter> huu kien diem kich su dung"
Thiet La Han	4	3	\spr\item\questkey\obj_item_lection.spr	341	1	1	"Nhat ca hoi dong dich thiet la han, toan nghien kha di hoach dac thuc chien kinh nghiem. <enter> huu kien diem kich su dung"
Duong Quy	4	4	\spr\item\questkey\taskobj094.spr	41	1	1	Nhat chung trung duoc tai.
Hop Hoan	4	5	\spr\item\questkey\taskobj121.spr	41	1	1	Nhat chung trung duoc tai.
Huyen Tham	4	6	\spr\item\questkey\taskobj122.spr	41	1	1	Nhat chung trung duoc tai.
Phong Ky	4	7	\spr\item\questkey\taskobj123.spr	41	1	1	Nhat chung trung duoc tai.
Chu Sa	4	8	\spr\item\questkey\taskobj124.spr	41	1	1	Nhat chung trung duoc tai.
Ha Thu O	4	9	\spr\item\questkey\taskobj131.spr	41	1	1	"Nhat chung duoc tai, nang cu bo can than, ich tinh huyet, o tu phat, cuong can cot."
Linh Chi	4	10	\spr\item\questkey\taskobj103.spr	41	1	1	"Nhat chung tran hi duoc tai, nang cu ich tam khi, tang tri tue, cuu thuc khinh than bat lao, cu huu khoi tu hoi sinh dich cong hieu."
Manh Tang Bao Do 1	4	11	\spr\item\task\treasure1.spr	412	1	1	"An van lo khan, gia khoi toai phien ung cai thi nhat phuc than bi lo tuyen do dich nhat bo phan"
Manh Tang Bao Do 2	4	12	\spr\item\task\treasure2.spr	412	1	1	"An van lo khan, gia khoi toai phien ung cai thi nhat phuc than bi lo tuyen do dich nhat bo phan"
Manh Tang Bao Do 3	4	13	\spr\item\task\treasure3.spr	412	1	1	"An van lo khan, gia khoi toai phien ung cai thi nhat phuc than bi lo tuyen do dich nhat bo phan"
Manh Tang Bao Do 4	4	14	\spr\item\task\treasure4.spr	412	1	1	"An van lo khan, gia khoi toai phien ung cai thi nhat phuc than bi lo tuyen do dich nhat bo phan"
Manh Tang Bao Do 5	4	15	\spr\item\task\treasure5.spr	412	1	1	"An van lo khan, gia khoi toai phien ung cai thi nhat phuc than bi lo tuyen do dich nhat bo phan"
Manh Tang Bao Do 6	4	16	\spr\item\task\treasure6.spr	412	1	1	"An van lo khan, gia khoi toai phien ung cai thi nhat phuc than bi lo tuyen do dich nhat bo phan"
Manh Tang Bao Do 7	4	17	\spr\item\task\treasure7.spr	412	1	1	"An van lo khan, gia khoi toai phien ung cai thi nhat phuc than bi lo tuyen do dich nhat bo phan"
Manh Tang Bao Do 8	4	18	\spr\item\task\treasure8.spr	412	1	1	"An van lo khan, gia khoi toai phien ung cai thi nhat phuc than bi lo tuyen do dich nhat bo phan"
Manh Tang Bao Do 9	4	19	\spr\item\task\treasure9.spr	412	1	1	"An van lo khan, gia khoi toai phien ung cai thi nhat phuc than bi lo tuyen do dich nhat bo phan"
Manh Tang Bao Do 10	4	20	\spr\item\task\treasure10.spr	412	1	1	"An van lo khan, gia khoi toai phien ung cai thi nhat phuc than bi lo tuyen do dich nhat bo phan"
Manh Tang Bao Do 11	4	21	\spr\item\task\treasure11.spr	412	1	1	"An van lo khan, gia khoi toai phien ung cai thi nhat phuc than bi lo tuyen do dich nhat bo phan"
Manh Tang Bao Do 12	4	22	\spr\item\task\treasure12.spr	412	1	1	"An van lo khan, gia khoi toai phien ung cai thi nhat phuc than bi lo tuyen do dich nhat bo phan"
Huyen Tinh Cap 1	4	23	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Truyen thuyet trung kha di hop thanh <color=fire> hoang kim <color> dich 1 cap than bi vat pham.
Huyen Tinh Cap 2	4	24	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Truyen thuyet trung kha di hop thanh <color=fire> hoang kim <color> dich 2 cap than bi vat pham.
Huyen Tinh Cap 3	4	25	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Truyen thuyet trung kha di hop thanh <color=fire> hoang kim <color> dich 3 cap than bi vat pham.
Huyen Tinh Cap 4	4	26	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Truyen thuyet trung kha di hop thanh <color=fire> hoang kim <color> dich 4 cap than bi vat pham.
Huyen Tinh Cap 5	4	27	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Truyen thuyet trung kha di hop thanh <color=fire> hoang kim <color> dich 5 cap than bi vat pham.
Huyen Tinh Cap 6	4	28	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Truyen thuyet trung kha di hop thanh <color=fire> hoang kim <color> dich 6 cap than bi vat pham.
Huyen Tinh Cap 7	4	29	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Truyen thuyet trung kha di hop thanh <color=fire> hoang kim <color> dich 7 cap than bi vat pham.
Huyen Tinh Cap 8	4	30	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Truyen thuyet trung kha di hop thanh <color=fire> hoang kim <color> dich 8 cap than bi vat pham.
Huyen Tinh Cap 9	4	31	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Truyen thuyet trung kha di hop thanh <color=fire> hoang kim <color> dich 9 cap than bi vat pham.
Huyen Tinh Cap 10	4	32	\spr\item\script\item_xuanjingkuangshi.spr	333	1	1	Truyen thuyet trung kha di hop thanh <color=fire> hoang kim <color> dich 10 cap than bi vat pham.
Lenh Bai Phong Lang Do	4	33	\spr\item\questkey\006.spr	385	1	1	Thua thuyen do qua phong lang do dich tin vat.
Tam Tam Tuong Anh Phu	4	34	\spr\item\obj_item_heart.spr	346	1	1	Tam tam tuong anh phu
Hoi Thanh Phu (Vo Han Su Dung)	4	35	\spr\item\questkey\thodiaphumauxanh.spr	38	1	1	"Suc dia dai phap, nhuong nhi thuan gian hoi dao thanh tran. ( kha vo han thu su dung )"
Sat Thu Lenh	4	36	\spr\item\questkey\satthulenh.spr	507	1	2	Sat thu lenh
Sat Thu Gian	4	37	\spr\item\questkey\satthugian.spr	507	1	2	Sat thu gian
Khieu Chien Lenh	4	38	\spr\item\vietnam\tiaozhanling.spr	385	1	1	Tin vat cong thanh chien.
Kim Nguyen Bao	4	39	\spr\item\questkey\obj_item_cardg.spr	340	1	1	"Dai khoi kim nguyen bao, tuong duong vu 50 nguyen diem tap nhat truong."
Cong Thanh Lenh	4	40	\spr\item\questkey\congthanhlenh.spr	385	1	1	Bang hoi cong thanh lenh
Dong Kinh	4	41	\spr\item\questkey\taskobj089.spr	41	1	1	Nhat khoi hoan chinh dich dong kinh.
Luong Ngan Khoang	4	42	\spr\item\questkey\taskobj105.spr	41	1	1	Nhat chung quang thach.
Xich Dong Khoang	4	43	\spr\item\questkey\taskobj108.spr	41	1	1	Nhat chung quang thach.
Tu Thiet Khoang	4	44	\spr\item\questkey\taskobj125.spr	41	1	1	Nhat chung quang thach.
Cap Huyet Hong	4	45	\spr\item\questkey\taskobj053.spr	41	1	1	Nhat chung huyet hong sac dich bao thach.
Bang Tinh Lam	4	46	\spr\item\questkey\taskobj054.spr	41	1	1	Nhat chung lan sac dich bao thach.
To Mau Luc	4	47	\spr\item\questkey\taskobj055.spr	41	1	1	Nhat ca luc sac dich bao thach.
Van Mong Tu	4	48	\spr\item\questkey\taskobj056.spr	41	1	1	Nhat chung tu sac dich bao thach.
Truong Menh Hoan	4	49	\spr\item\medecine\obj-potion15.spr	19	1	1	Sinh luc gia tang them 500 diem trong vong 5 phut
