具体类别	详细类别	对应物理技能编号
-1	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	0	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	1	53
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	2	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	3	1
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	4	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
0	5	53
0	6	53
0	6	53
0	6	53
0	6	53
0	6	53
0	6	53
0	6	53
0	6	53
0	6	53
0	6	53
0	7	53
0	7	53
0	7	53
0	7	53
0	7	53
0	7	53
0	7	53
0	7	53
0	7	53
0	7	53
0	8	53
0	8	53
0	8	53
0	8	53
0	8	53
0	8	53
0	8	53
0	8	53
0	8	53
0	8	53
0	9	53
0	9	53
0	9	53
0	9	53
0	9	53
0	9	53
0	9	53
0	9	53
0	9	53
0	9	53
0	10	53
0	10	53
0	10	53
0	10	53
0	10	53
0	10	53
0	10	53
0	10	53
0	10	53
0	10	53
0	11	53
0	11	53
0	11	53
0	11	53
0	11	53
0	11	53
0	11	53
0	11	53
0	11	53
0	11	53
0	12	53
0	12	53
0	12	53
0	12	53
0	12	53
0	12	53
0	12	53
0	12	53
0	12	53
0	12	53
0	13	53
0	13	53
0	13	53
0	13	53
0	13	53
0	13	53
0	13	53
0	13	53
0	13	53
0	13	53
0	14	53
0	14	53
0	14	53
0	14	53
0	14	53
0	14	53
0	14	53
0	14	53
0	14	53
0	14	53
0	15	53
0	15	53
0	15	53
0	15	53
0	15	53
0	15	53
0	15	53
0	15	53
0	15	53
0	15	53
0	16	53
0	16	53
0	16	53
0	16	53
0	16	53
0	16	53
0	16	53
0	16	53
0	16	53
0	16	53
0	17	53
0	17	53
0	17	53
0	17	53
0	17	53
0	17	53
0	17	53
0	17	53
0	17	53
0	17	53
0	18	53
0	18	53
0	18	53
0	18	53
0	18	53
0	18	53
0	18	53
0	18	53
0	18	53
0	18	53
0	19	53
0	19	53
0	19	53
0	19	53
0	19	53
0	19	53
0	19	53
0	19	53
0	19	53
0	19	53
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	0	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	1	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
1	2	2
