MissleId	MissleName	MoveKind	FollowKind	ColFollowTarget	MissleHeight	CollidRange	IsRangeDmg	DmgRange	DmgInterval	LifeTime	Speed	Zspeed	Zacc	LoopPlay	SubLoop	SubStart	SubStop	ResponseSkill	CanDestroy	ColVanish	CanSlow	CanColFriend	AutoExplode	Param1	Param2	Param3	MultiShow	AnimFile1	AnimFileInfo1	SndFile1	AnimFile2	AnimFileInfo2	SndFile2	AnimFile3	AnimFileInfo3	SndFile3	AnimFile4	AnimFileInfo4	SndFile4	AnimFileB1	AnimFileInfoB1	SndFileB1	AnimFileB2	AnimFileInfoB2	SndFileB2	AnimFileB3	AnimFileInfoB3	SndFileB3	AnimFileB4	AnimFileInfoB4	SndFileB4	RedLum	GreenLum	BlueLum	LightRadius
1	四象同归	1	0	1	18	2	1	2	14	16	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0				\spr\skill\峨嵋\mag_em_02_四象同归.spr	64,16,1	\sound\skill\sound_k029.wav				\spr\skill\峨嵋\mag_bz_bin2_爆炸效果.spr	6,1,2	\sound\skill\冰爆.wav													156	211	255	90
2	一叶知秋	1	0	1	10	1	0	1	0	32	20	0	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0				\spr\skill\峨嵋\mag_em_03_一叶知秋.spr	64,16,1	\sound\skill\sound_k029.wav				\spr\skill\峨嵋\mag_bz_bin1_爆炸效果.spr	14,1,1	\sound\skill\sound_k041.wav													156	211	255	90
3	不灭不绝	1	0	1	10	1	0	1	0	16	31	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0				\spr\skill\峨嵋\mag_em_04_不灭不绝.spr	64,16,1	\sound\skill\不灭不绝.wav				\spr\skill\峨嵋\mag_em_bin4_爆炸效果.spr	6,1,1	\sound\skill\刀剑刺中声.wav													156	211	255	90
4	佛光普照	0	0	1	10	4	1	4	13	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\峨嵋\mag_em_05_佛光普照.spr	8,1,2					\spr\skill\峨嵋\mag_bz_bin1_爆炸效果.spr	7,1,2	\sound\skill\sound_k045.wav													156	211	255	90
5	慈航普渡	0	0	0	10	5	1	5	20	19	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\峨嵋\mag_em_12_慈航普渡.spr	20,1,1					\spr\skill\峨嵋\mag_bz_bin5_爆炸效果.spr	18,1,2	\sound\skill\sound_k041.wav													156	166	247	90
6	风云突起	1	0	1	10	1	0	1	0	20	18	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0				\spr\skill\翠烟\mag_cy_01_风云突起.spr	48,16,1	\sound\skill\风花雪月.wav				\spr\skill\峨嵋\mag_bz_bin2_爆炸效果.spr	6,1,2	\sound\skill\冰爆.wav													156	211	255	90
7	风卷残雪	1	0	0	5	2	1	3	4	16	26	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1						\sound\skill\风卷残雪.wav																			156	211	255	90
8	雨打梨花	1	0	1	450	2	1	2	0	30	0	0	1024	1	0	0	0	0	0	1	0	0	1	0	0	0	0				\spr\skill\翠烟\mag_cy_03_雨打梨花.spr	5,1,1		\spr\skill\峨嵋\mag_bz_bin4_爆炸效果.spr	16,1,2		\spr\skill\峨嵋\mag_bz_bin3_爆炸效果.spr	19,1,2	\sound\skill\sound_k041.wav													156	211	255	90
9	牧野流星a	0	0	0	320	2	1	2	0	24	0	-40960	40960	1	0	0	0	0	1	1	0	0	1	0	0	0	0				\spr\skill\翠烟\mag_cy_04_牧野流星.spr	5,1,1		\spr\skill\峨嵋\mag_bz_bin5_爆炸效果.spr	18,1,2		\spr\skill\峨嵋\mag_bz_bin5_爆炸效果.spr	18,1,2	\sound\skill\sound_k041.wav													156	211	255	90
10	碧海潮生a	0	0	0	10	8	1	8	5	5	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\翠烟\mag_cy_05_碧海潮生_a.spr	6,1,1	\sound\skill\碧海潮生.wav																			156	211	255	90
11	碧海潮生b	1	0	0	10	1	0	1	0	30	24	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0				\spr\skill\翠烟\mag_cy_05_碧海潮生_b.spr	48,16,1					\spr\skill\峨嵋\mag_bz_bin1_爆炸效果.spr	14,1,1														156	211	255	90
12	浮云散雪	0	0	1	15	3	1	3	15	15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\翠烟\mag_cy_10_观音散雪.spr	16,1,1	\sound\skill\浮云散雪.wav																			156	166	247	90
13	治疗术	0	0	1	10	1	0	1	10	16	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0				\spr\skill\翠烟\mag_cy_11_补血术.spr	20,1,1	\sound\skill\治疗术.wav																			189	134	82	90
14	疾风咒	1	1	1	10	1	0	1	0	15	20	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0				\spr\skill\昆仑\kl_01_呼风法.spr	15,1,1	\sound\skill\疾风咒.wav				\spr\skill\昆仑\Bz_dian3_爆炸.spr	8,1,1														255	219	214	90
15	迅雷咒	1	0	1	10	1	0	1	0	16	30	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1						\sound\skill\迅雷咒.wav				\spr\skill\昆仑\Bz_dian3_爆炸.spr	8,1,1	\sound\skill\sound_k040.wav				\spr\skill\昆仑\kl_02_疾电法b.spr	160,16,1								255	255	239	90
16	狂风骤电	1	0	1	10	2	1	2	4	40	31	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\昆仑\kl_03_狂风骤电.spr	20,1,1	\sound\skill\狂风骤电.wav				\spr\skill\昆仑\Bz_dian3_爆炸.spr	8,1,1														255	255	239	90
17	狂雷震地	0	0	1	15	2	1	2	4	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				\spr\skill\昆仑\KL_04_狂雷震地.spr	5,1,2					\spr\skill\昆仑\Bz_dian3_爆炸.spr	8,1,1														255	255	239	90
18	五雷正法	0	0	1	18	2	1	2	4	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0				\spr\skill\昆仑\kl_05_五雷正法.spr	5,1,2					\spr\skill\昆仑\Bz_dian3_爆炸.spr	8,1,1														255	255	239	90
19	清风符	0	0	0	18	3	1	7	0	2	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0										\spr\skill\昆仑\kl_11_清风符.spr	40,1,1														255	219	99	90
20	羁绊符	0	0	0	18	3	1	7	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0																									255	219	99	90
21	一气三清符	0	0	0	18	3	1	3	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0										\spr\skill\昆仑\kl_13_大力金刚符.spr	20,1,1														255	219	99	90
22	弃心符	0	0	0	18	3	1	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0										\spr\skill\昆仑\kl_14_弃心符.spr	20,1,1														255	219	99	90
