Id	Name	Kind	Camp	Series	Treasure	HeadImage	ClientOnly	CorpseIdx	RedLum	GreenLum	BlueLum	NpcResType	ArmorType	HelmType	WeaponType	HorseType	RideHorse	StandFrame	StandFrame1	DeathFrame	WalkFrame	RunFrame	HurtFrame	Skill1	Level1	Skill2	Level2	Skill3	Level3	Skill4	Level4	ActionScript	LevelScript	ExpParam	LifeParam	LifeReplenish	ARParam	DefenseParam	MinDamageParam	MaxDamageParam	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	VisionRadius	HitRecover	ActiveRadius	AIMode	AIParam1	AIParam2	AIParam3	AIParam4	AIParam5	AIParam6	AIParam7	AIParam8	AIParam9	FireResist	ColdResist	LightResist	PoisonResist	PhysicsResist	FireResistMax	ColdResistMax	LightResistMax	PoisonResistMax	PhysicsResistMax	ReviveFrame	Stature	DropRateFile	AIMaxTime
0	Dong Bac Ho	0	5	0	1			43				ani001	0	0	0	0	0	28	28	20	10	20	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	7	7	25	25	400	10	700	1	60	30	60	40	60	10	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
1	Hoa Nam Ho	0	5	0	1			44				ani002	0	0	0	0	0	24	35	25	10	20	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	7	7	25	25	400	10	700	1	60	30	70	70	50	10	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
2	Bach Ho	0	5	0	1			45				ani003	0	0	0	0	0	24	26	20	10	20	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	7	7	25	25	400	10	700	1	80	40	30	0	0	20	0	0	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
3	Kim Tien Bao	0	5	0	1			47				ani005	0	0	0	0	0	30	36	30	10	21	13	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	60	30	60	40	60	10	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
4	Tuyet Bao	0	5	0	1			48				ani006	0	0	0	0	0	28	28	31	8	14	14	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	60	30	60	40	60	10	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
5	Soi Xam	0	5	0	1			51				ani009	0	0	0	0	0	15	28	26	10	20	12	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	70	30	60	40	40	20	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
6	Soi Do	0	5	0	1			52				ani010	0	0	0	0	0	18	28	26	10	12	13	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	60	30	60	40	60	10	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
7	Thanh Lang	0	5	0	1			53				ani011	0	0	0	0	0	10	28	20	9	12	10	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	60	30	60	40	60	10	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
8	Soi Tuyet	0	5	0	1			54				ani012	0	0	0	0	0	12	22	16	9	15	10	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	6	6	25	25	400	10	700	1	70	30	60	40	60	10	0	0	10	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
9	Ho Ly Tinh	0	5	0	1			55				ani013	0	0	0	0	0	14	30	14	10	21	9	53	1|0	53	1|0	53	1|0	53	1|0		\script\npclevelscript\animal.lua	100	100	0|0.05	100	100	100	100	5	5	25	25	400	10	700	1	70	50	90	40	40	20	0	10	0	0|0	0|0	0|0	0|0	0|0	75	75	75	75	75	180	100	\settings\droprate\quai10x.ini	10
