SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	ClientSend	SkillCostType	CostValue	TimePerCast	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetObj	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc	IsMagic	Skillrank
C«ng kİch vËt lı		1	1	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_ty_ap.spr		0	0	0	0	0	0	100	0	0	0	0	1	64	-1	1	1	9	0		5	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-2	0	80	1	0		0					0	0	\script\skill\special\³¤±øÎïÀí¹¥»÷.lua	physicsenhance_p		attackrating_p		skill_cost_v																																					Phæ th«ng c«ng kİch.	0	0
C«ng kİch vËt lı		2	1	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_ty_at.spr				0	0	0	0	320	0	0	0	0	1	65	-1	1	1	9	0		5	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-2	0	80	1	0		0					0	0	\script\skill\special\Ô¶³ÌÎïÀí¹¥»÷.lua	physicsenhance_p		attackrating_p		skill_cost_v																																					Phæ th«ng c«ng kİch.	0	0
Hµnh long bÊt vò	C«ng kİch ngo¹i c«ng	3	202	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_21.spr		\sound\skill\sound_k003.wav		0	0	0	0	90	0	0	0	1	8	4	1	1	1	10	1		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-1	0	40	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	xinglong_buyu	addskilldamage1	xinglong_buyu	skill_cost_v	xinglong_buyu	seriesdamage_p	xinglong_buyu	addskilldamage2	xinglong_buyu	addskilldamage3	xinglong_buyu	addskilldamage4	xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		"ThiÓu l©m nhËp m«n cÊp vò c«ng, ®èi viªn h×nh khu vùc néi ®Şch nh©n t¹o thµnh nhÊt ®Şnh th­¬ng h¹i."	0	0
Hµnh long bÊt vò	C«ng kİch ngo¹i c«ng	4	202	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_21.spr		\sound\skill\sound_k003.wav		0	0	0	0	90	0	0	0	1	7	66	-1	1	1	10	1		8	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-1	0	40	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	xinglong_buyu	addskilldamage1	xinglong_buyu	skill_cost_v	xinglong_buyu	seriesdamage_p	xinglong_buyu	addskilldamage2	xinglong_buyu	addskilldamage3	xinglong_buyu	addskilldamage4	xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		xinglong_buyu		"ThiÓu l©m nhËp m«n cÊp vò c«ng, ®èi viªn h×nh khu vùc néi ®Şch nh©n t¹o thµnh nhÊt ®Şnh th­¬ng h¹i."	0	0
Kim c­¬ng phôc ma	C«ng kİch ngo¹i c«ng	5	204	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_02.spr		\sound\skill\sound_k001.wav	0	0	0	0	1	90	5	1	5	1	8	6	1	1	1	9	0		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	1	0	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	jingang_fumo	addskilldamage2	jingang_fumo	missle_speed_v	jingang_fumo	missle_lifetime_v	jingang_fumo	skill_attackradius	jingang_fumo	addskilldamage1	jingang_fumo	seriesdamage_p	jingang_fumo	addskilldamage3	jingang_fumo	addskilldamage4	jingang_fumo	skill_cost_v	jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		"ThiÓu l©m nhËp m«n vò c«ng, c«ng kİch ®an nh©n ®İch chiªu thøc."	0	0
Kim c­¬ng phôc ma		6		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_02.spr		0	0	0	0	0	0	75	0	0	0	1	1	63	-1	1	1	9	0		5	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	-2	0	80	0	0		0					0	0	\script\skill\shaolin.lua	physicsenhance_p	jingang_fumo	addskilldamage3	jingang_fumo	missle_speed_v	jingang_fumo	missle_lifetime_v	jingang_fumo	skill_attackradius	jingang_fumo	seriesdamage_p	jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		jingang_fumo		Phæ th«ng c«ng kİch.	0	0
ThiÓu l©m c«n ph¸p	Kü n¨ng hç trî bŞ ®éng	7	206	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_gf.spr				0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	2	0	0	0	0		0					0	0	\script\skill\shaolin.lua	addphysicsdamage_p	shaolin_gunfa	attackratingenhance_p	shaolin_gunfa	deadlystrikeenhance_p	shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		shaolin_gunfa		§Ò cao sö dông c«n lo¹i vò khİ ®İch n¨ng lùc.	0	0
ThiÓu l©m ®ao ph¸p	Kü n¨ng hç trî bŞ ®éng	8	208	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_df.spr				0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	1	0	0	0	0		0					0	0	\script\skill\shaolin.lua	addphysicsdamage_p	shaolin_daofa	deadlystrikeenhance_p	shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		shaolin_daofa		§Ò cao sö dông ®ao lo¹i vò khİ ®İch n¨ng lùc.	0	0
ThiÓu l©m quyÒn ph¸p	Kü n¨ng hç trî bŞ ®éng	9	207	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_qf.spr				0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-1	0	0	0	0		0					0	0	\script\skill\shaolin.lua	addphysicsdamage_p	shaolin_quanfa	attackratingenhance_p	shaolin_quanfa	deadlystrikeenhance_p	shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		shaolin_quanfa		§Ò cao kh«ng thñ c«ng kİch ®İch n¨ng lùc.	0	0
BÊt ®éng minh v­¬ng	Kü n¨ng hç trî chñ ®éng	10	200	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_22.spr	\spr\skill\ÉÙÁÖ\sl_05_²»¶¯Ã÷ÍõÖä.spr	\sound\skill\²»¶¯Ã÷ÍõÖä.wav	0	52	0	2	0	400	0	1	0	1	3	76	-1	1	1	11	1		5	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	27	20	20	-2	0	0	0	0		0					0	0	\script\skill\shaolin.lua	attackratingenhance_p	budong_mingwang	adddefense_v	budong_mingwang	skill_cost_v	budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		budong_mingwang		"ThiÓu l©m thiÖn x­íng, t¸ minh v­¬ng ph¸p lùc t¨ng gia kû ph­¬ng chiÕn ®Êu n¨ng lùc."	0	0
