武器装备编号	人物部件编号	
1	2	名称
2	3	铁匕首[1]
3	3	钢剑[2]
4	3	青峰剑[3]
5	3	龙泉剑[4]
6	4	斩马剑[5]
7	4	乌金剑[6]
8	4	齿铗[7]
9	5	七尺剑[8]
10	5	万仞剑[9]
11	22	玄铁剑[10]
12	6	腰刀[1]
13	6	单刀[2]
14	6	鬼头刀[3]
15	6	雁翎刀[4]
16	7	月牙刀[5]
17	7	破风刀[6]
18	7	滚珠宝刀[7]
19	8	偃月刀[8]
20	8	青龙刀[9]
21	24	大风刀[10]
22	12	烧火棍[1]
23	12	齐眉棍[2]
24	12	盘花棍[3]
25	12	虎尾棍[4]
26	13	哨棒[5]
27	13	杆棒[6]
28	13	狼牙棒[7]
29	14	混铁棒[8]
30	14	搅海棒[9]
31	28	金箍棒[10]
32	9	铁枪[1]
33	9	长枪[2]
34	9	点钢枪[3]
35	9	钩镰枪[4]
36	10	环子枪[5]
37	10	豹尾枪[6]
38	10	雁翎枪[7]
39	11	透骨枪[8]
40	11	火尖枪[9]
41	26	破天戟[10]
42	18	蒜头锤[1]
43	18	八棱锤[2]
44	18	五星锤[3]
45	18	霹雳锤[4]
46	19	亮银锤[5]
47	19	狼牙锤[6]
48	19	裂心锤[7]
49	20	金瓜锤[8]
50	20	孽龙锤[9]
51	32	破天锤[10]
52	15	峨嵋刺[1]
53	15	镔铁双刀[2]
54	15	月牙刺[3]
55	15	黑白双刀[4]
56	16	雪花亮银刀[5]
57	16	鸳鸯刀[6]
58	16	芙蓉刀[7]
59	17	蝴蝶双刀[8]
60	17	秋雨刀[9]
61	30	吞日斩[10]
62	23	无间之倚天剑[+1]
63	23	无间之倚天剑[+2]
64	23	无间之倚天剑[+3]
65	23	无间之倚天剑[+4]
66	23	无间之倚天剑[+5]
67	23	无间之倚天剑[+6]
68	23	无间之倚天剑[+7]
69	23	无间之倚天剑[+8]
70	23	无间之倚天剑[+9]
71	38	[天赐的]无间之倚天剑[+10]
72	25	四空之降魔戒刀[+1]
73	25	四空之降魔戒刀[+2]
74	25	四空之降魔戒刀[+3]
75	25	四空之降魔戒刀[+4]
76	25	四空之降魔戒刀[+5]
77	25	四空之降魔戒刀[+6]
78	25	四空之降魔戒刀[+7]
79	25	四空之降魔戒刀[+8]
80	25	四空之降魔戒刀[+9]
81	34	[天赐的]四空之降魔戒刀[+10]
82	29	伏魔之紫金棍[+1]
83	29	伏魔之紫金棍[+2]
84	29	伏魔之紫金棍[+3]
85	29	伏魔之紫金棍[+4]
86	29	伏魔之紫金棍[+5]
87	29	伏魔之紫金棍[+6]
88	29	伏魔之紫金棍[+7]
89	29	伏魔之紫金棍[+8]
90	29	伏魔之紫金棍[+9]
91	42	[天赐的]伏魔之紫金棍[+10]
92	27	继业之奔雷钻龙枪[+1]
93	27	继业之奔雷钻龙枪[+2]
94	27	继业之奔雷钻龙枪[+3]
95	27	继业之奔雷钻龙枪[+4]
96	27	继业之奔雷钻龙枪[+5]
97	27	继业之奔雷钻龙枪[+6]
98	27	继业之奔雷钻龙枪[+7]
99	27	继业之奔雷钻龙枪[+8]
100	27	继业之奔雷钻龙枪[+9]
101	40	[天赐的]继业之奔雷钻龙枪[+10]
102	33	撼天之金环大眼神锤[+1]
103	33	撼天之金环大眼神锤[+2]
104	33	撼天之金环大眼神锤[+3]
105	33	撼天之金环大眼神锤[+4]
106	33	撼天之金环大眼神锤[+5]
107	33	撼天之金环大眼神锤[+6]
108	33	撼天之金环大眼神锤[+7]
109	33	撼天之金环大眼神锤[+8]
110	33	撼天之金环大眼神锤[+9]
111	45	[天赐的]撼天之金环大眼神锤[+10]
112	31	碧海之鸳鸯连环刀[+1]
113	31	碧海之鸳鸯连环刀[+2]
114	31	碧海之鸳鸯连环刀[+3]
115	31	碧海之鸳鸯连环刀[+4]
116	31	碧海之鸳鸯连环刀[+5]
117	31	碧海之鸳鸯连环刀[+6]
118	31	碧海之鸳鸯连环刀[+7]
119	31	碧海之鸳鸯连环刀[+8]
120	31	碧海之鸳鸯连环刀[+9]
121	44	[天赐的]碧海之鸳鸯连环刀[+10]
122	23	凌岳之太极剑[+1]
123	23	凌岳之太极剑[+2]
124	23	凌岳之太极剑[+3]
125	23	凌岳之太极剑[+4]
126	23	凌岳之太极剑[+5]
127	23	凌岳之太极剑[+6]
128	23	凌岳之太极剑[+7]
129	23	凌岳之太极剑[+8]
130	23	凌岳之太极剑[+9]
131	39	[天赐的]凌岳之太极剑[+10]
132	25	御龙之亮银宝刀[+1]
133	25	御龙之亮银宝刀[+2]
134	25	御龙之亮银宝刀[+3]
135	25	御龙之亮银宝刀[+4]
136	25	御龙之亮银宝刀[+5]
137	25	御龙之亮银宝刀[+6]
138	25	御龙之亮银宝刀[+7]
139	25	御龙之亮银宝刀[+8]
140	25	御龙之亮银宝刀[+9]
141	34	[天赐的]御龙之亮银宝刀[+10]
142	29	敌忾之绿玉杖[+1]
143	29	敌忾之绿玉杖[+2]
144	29	敌忾之绿玉杖[+3]
145	29	敌忾之绿玉杖[+4]
146	29	敌忾之绿玉杖[+5]
147	29	敌忾之绿玉杖[+6]
148	29	敌忾之绿玉杖[+7]
149	29	敌忾之绿玉杖[+8]
150	29	敌忾之绿玉杖[+9]
151	43	[天赐的]敌忾之绿玉杖[+10]
152	27	魔煞之鬼谷幽冥枪[+1]
153	27	魔煞之鬼谷幽冥枪[+2]
154	27	魔煞之鬼谷幽冥枪[+3]
155	27	魔煞之鬼谷幽冥枪[+4]
156	27	魔煞之鬼谷幽冥枪[+5]
157	27	魔煞之鬼谷幽冥枪[+6]
158	27	魔煞之鬼谷幽冥枪[+7]
159	27	魔煞之鬼谷幽冥枪[+8]
160	27	魔煞之鬼谷幽冥枪[+9]
161	41	[天赐的]魔煞之鬼谷幽冥枪[+10]
162	25	霜晶之千年寒铁[+1]
163	25	霜晶之千年寒铁[+2]
164	25	霜晶之千年寒铁[+3]
165	25	霜晶之千年寒铁[+4]
166	25	霜晶之千年寒铁[+5]
167	25	霜晶之千年寒铁[+6]
168	25	霜晶之千年寒铁[+7]
169	25	霜晶之千年寒铁[+8]
170	25	霜晶之千年寒铁[+9]
171	37	[天赐的]霜晶之千年寒铁[+10]
172	31	无魇之风霜连环刀[+1]
173	31	无魇之风霜连环刀[+2]
174	31	无魇之风霜连环刀[+3]
175	31	无魇之风霜连环刀[+4]
176	31	无魇之风霜连环刀[+5]
177	31	无魇之风霜连环刀[+6]
178	31	无魇之风霜连环刀[+7]
179	31	无魇之风霜连环刀[+8]
180	31	无魇之风霜连环刀[+9]
181	44	[天赐的]无魇之风霜连环刀[+10]
182	23	及丰之真武剑[+1]
183	23	及丰之真武剑[+2]
184	23	及丰之真武剑[+3]
185	23	及丰之真武剑[+4]
186	23	及丰之真武剑[+5]
187	23	及丰之真武剑[+6]
188	23	及丰之真武剑[+7]
189	23	及丰之真武剑[+8]
190	23	及丰之真武剑[+9]
191	39	[天赐的]及丰之真武剑[+10]
192	25	栖凰之凤仪刀[+1]
193	25	栖凰之凤仪刀[+2]
194	25	栖凰之凤仪刀[+3]
195	25	栖凰之凤仪刀[+4]
196	25	栖凰之凤仪刀[+5]
197	25	栖凰之凤仪刀[+6]
198	25	栖凰之凤仪刀[+7]
199	25	栖凰之凤仪刀[+8]
200	25	栖凰之凤仪刀[+9]
201	37	[天赐的]栖凰之凤仪刀[+10]
202	29	同仇之飞龙棍[+1]
203	29	同仇之飞龙棍[+2]
204	29	同仇之飞龙棍[+3]
205	29	同仇之飞龙棍[+4]
206	29	同仇之飞龙棍[+5]
207	29	同仇之飞龙棍[+6]
208	29	同仇之飞龙棍[+7]
209	29	同仇之飞龙棍[+8]
210	29	同仇之飞龙棍[+9]
211	43	[天赐的]同仇之飞龙棍[+10]
212	27	魔嗜之业火焚城枪[+1]
213	27	魔嗜之业火焚城枪[+2]
214	27	魔嗜之业火焚城枪[+3]
215	27	魔嗜之业火焚城枪[+4]
216	27	魔嗜之业火焚城枪[+5]
217	27	魔嗜之业火焚城枪[+6]
218	27	魔嗜之业火焚城枪[+7]
219	27	魔嗜之业火焚城枪[+8]
220	27	魔嗜之业火焚城枪[+9]
221	41	[天赐的]魔嗜之业火焚城枪[+10]
222	18	蒜头锤[+1]
223	18	八棱锤[+2]
224	18	五星锤[+3]
225	18	霹雳锤[+4]
226	19	亮银锤[+5]
227	19	狼牙锤[+6]
228	19	裂心锤[+7]
229	20	金瓜锤[+8]
230	20	孽龙锤[+9]
231	32	破天锤[+10]
232	31	幽胧之蚀骨双刃[+1]
233	31	幽胧之蚀骨双刃[+2]
234	31	幽胧之蚀骨双刃[+3]
235	31	幽胧之蚀骨双刃[+4]
236	31	幽胧之蚀骨双刃[+5]
237	31	幽胧之蚀骨双刃[+6]
238	31	幽胧之蚀骨双刃[+7]
239	31	幽胧之蚀骨双刃[+8]
240	31	幽胧之蚀骨双刃[+9]
241	44	[天赐的]幽胧之蚀骨双刃[+10]
242	23	雷穹之九天剑[+1]
243	23	雷穹之九天剑[+2]
244	23	雷穹之九天剑[+3]
245	23	雷穹之九天剑[+4]
246	23	雷穹之九天剑[+5]
247	23	雷穹之九天剑[+6]
248	23	雷穹之九天剑[+7]
249	23	雷穹之九天剑[+8]
250	23	雷穹之九天剑[+9]
251	39	[天赐的]雷穹之九天剑[+10]
252	25	冥幻之邪刹毒刃[+1]
253	25	冥幻之邪刹毒刃[+2]
254	25	冥幻之邪刹毒刃[+3]
255	25	冥幻之邪刹毒刃[+4]
256	25	冥幻之邪刹毒刃[+5]
257	25	冥幻之邪刹毒刃[+6]
258	25	冥幻之邪刹毒刃[+7]
259	25	冥幻之邪刹毒刃[+8]
260	25	冥幻之邪刹毒刃[+9]
261	37	[天赐的]冥幻之邪刹毒刃[+10]
262	12	烧火棍[+1]
263	12	齐眉棍[+2]
264	12	盘花棍[+3]
265	12	虎尾棍[+4]
266	13	哨棒[+5]
267	13	杆棒[+6]
268	13	狼牙棒[+7]
269	14	混铁棒[+8]
270	14	搅海棒[+9]
271	28	金箍棒[+10]
272	9	铁枪[+1]
273	9	长枪[+2]
274	9	点钢枪[+3]
275	9	钩镰枪[+4]
276	10	环子枪[+5]
277	10	豹尾枪[+6]
278	10	雁翎枪[+7]
279	11	透骨枪[+8]
280	11	火尖枪[+9]
281	26	破天戟[+10]
282	18	蒜头锤[+1]
283	18	八棱锤[+2]
284	18	五星锤[+3]
285	18	霹雳锤[+4]
286	19	亮银锤[+5]
287	19	狼牙锤[+6]
288	19	裂心锤[+7]
289	20	金瓜锤[+8]
290	20	孽龙锤[+9]
291	32	破天锤[+10]
292	15	峨嵋刺[+1]
293	15	镔铁双刀[+2]
294	15	月牙刺[+3]
295	15	黑白双刀[+4]
296	16	雪花亮银刀[+5]
297	16	鸳鸯刀[+6]
298	16	芙蓉刀[+7]
299	17	蝴蝶双刀[+8]
300	17	秋雨刀[+9]
301	30	吞日斩[+10]
